Valores_no_ajustados;Modelo_inv_Restringidos;Modelo_inv_Fijos
9.298160912;8.795560157;9.139967317
11.24568104;10.74587571;11.08642881
6.292011376;5.792517417;6.139355059
7.521166312;7.562717536;7.529495253
5.552555313;5.502367196;5.536116405
4.342412404;4.260423196;4.31799132
6.000170453;6.053999286;6.012117247
6.283022614;6.348257571;6.29860634
6.004120654;6.118032486;6.034512731
3.479213315;3.53338165;3.492205511
6.040689305;6.11527727;6.058225516
4.42708036;4.550120289;4.458718665
4.328688033;4.243983049;4.296434167
5.327791987;5.376361276;5.338446418
5.69689476;5.719785108;5.69261681
5.4365727;5.573428233;5.47147734
5.554818473;5.6492778;5.576877146
4.641150301;4.744511295;4.670106369
4.523340608;4.615523958;4.550277565
6.314683206;6.131076976;6.260945228
6.375865132;6.405094959;6.383481368
5.463019188;5.544691199;5.484348912
6.882052444;7.00945359;6.915287624
7.353503911;7.314394171;7.33451829
7.71124831;8.154228756;7.835601918
6.616179634;6.523345925;6.586921649
4.720820982;4.965289296;4.788384978
6.775108779;6.946815488;6.819032415
7.49633033;7.663927078;7.538382105
7.193616702;7.712673027;7.337887953
6.760133662;6.670455109;6.730898694
14.10107946;14.28795393;14.14822712
4.208184582;3.88221386;4.113526784
2.280298562;2.271015514;2.274892762
5.76341522;5.947030567;5.81619213
7.709439061;7.845973377;7.747505068
1.799615231;1.706216947;1.759589553
3.819522368;3.775268896;3.808235889
6.381525196;6.302840954;6.357705713
7.036061454;7.133284991;7.055136866
6.392382705;6.31014348;6.36421201
5.021419602;5.204142224;5.072826439
2.007694931;2.552071517;2.15693682
6.12566226;6.477022441;6.221040199
7.027275515;7.209566424;7.077350111
6.841627838;7.229214507;6.953551339
6.704592043;7.022760988;6.79582892
7.770063511;7.43386031;7.666199552
4.884821631;4.38130173;4.730059838
7.943970953;7.593028139;7.830373761
5.87814308;5.745833701;5.832878499
10.2211284;10.24369106;10.22066214
6.790731006;6.939481478;6.833822802
5.370682063;5.45011701;5.387058945
7.501671619;7.624177896;7.532708487
11.25234402;11.33334868;11.26447623
9.599372248;9.883553529;9.674295438
8.282246414;8.557271897;8.355039187
7.639871286;7.863745897;7.701344112
7.759774532;8.272180926;7.911345204
8.498563019;9.489900594;8.783764416
12.06655818;11.85114417;11.98562842
19.30729095;18.92991485;19.1907353
7.392807049;7.879937952;7.529465115
8.887705295;9.234090374;8.984831743
8.847180822;8.554903405;8.760842814
8.317159801;8.815315792;8.456670448
4.528517888;4.498358979;4.508004351
5.063982627;5.165785933;5.089197265
8.51547087;8.544323502;8.513815184
4.565311373;4.315936235;4.489533127
6.612286831;6.764322493;6.652215958
10.48337817;10.89208974;10.59447744
9.233954787;9.573383477;9.32587958
10.44510793;11.53324758;10.75694083
10.68109141;11.0251783;10.77671906
9.639434099;9.857543267;9.698016384
6.918533013;7.19611823;6.994449181
6.799562652;6.958928824;6.843690783
8.364382972;8.71584133;8.460979095
7.450531684;7.450013602;7.447180337
8.103174436;8.149569867;8.109447924
8.121314364;8.112922408;8.111245924
7.481470469;7.662193804;7.527548223
7.735492009;7.867727346;7.76931869
7.784547599;8.040310971;7.854180219
7.603289181;7.78938836;7.65278291
8.301770481;8.168277477;8.256448524
9.419384988;9.327389738;9.386224672
9.498466699;9.710915969;9.55545782
8.35695017;8.442186139;8.378135197
5.505804093;5.449984625;5.502802359
9.956222832;9.988953606;9.960706502
