Valores_no_ajustados;Modelo_inv_Restringidos;Modelo_inv_Fijos
9.298160912;8.795560157;9.298160912
11.24568104;10.74587571;11.24568104
6.292011376;5.792517417;6.292011376
7.521166312;7.562717536;7.521166312
5.552555313;5.502367196;5.552555313
4.342412404;4.260423196;4.342412404
6.000170453;6.053999286;6.000170453
6.283022614;6.348257571;6.283022614
6.004120654;6.118032486;6.004120654
3.479213315;3.53338165;3.479213315
6.040689305;6.11527727;6.040689305
4.42708036;4.550120289;4.42708036
4.328688033;4.243983049;4.328688033
5.327791987;5.376361276;5.327791987
5.69689476;5.719785108;5.69689476
5.4365727;5.573428233;5.4365727
5.554818473;5.6492778;5.554818473
4.641150301;4.744511295;4.641150301
4.523340608;4.615523958;4.523340608
6.314683206;6.131076976;6.314683206
6.375865132;6.405094959;6.375865132
5.463019188;5.544691199;5.463019188
6.882052444;7.00945359;6.882052444
7.353503911;7.314394171;7.353503911
7.71124831;8.154228756;7.71124831
6.616179634;6.523345925;6.616179634
4.720820982;4.965289296;4.720820982
6.775108779;6.946815488;6.775108779
7.49633033;7.663927078;7.49633033
7.193616702;7.712673027;7.193616702
6.760133662;6.670455109;6.760133662
14.10107946;14.28795393;14.10107946
4.208184582;3.88221386;4.208184582
2.280298562;2.271015514;2.280298562
5.76341522;5.947030567;5.76341522
7.709439061;7.845973377;7.709439061
1.799615231;1.706216947;1.799615231
3.819522368;3.775268896;3.819522368
6.381525196;6.302840954;6.381525196
7.036061454;7.133284991;7.036061454
6.392382705;6.31014348;6.392382705
5.021419602;5.204142224;5.021419602
2.007694931;2.552071517;2.007694931
6.12566226;6.477022441;6.12566226
7.027275515;7.209566424;7.027275515
6.841627838;7.229214507;6.841627838
6.704592043;7.022760988;6.704592043
7.770063511;7.43386031;7.770063511
4.884821631;4.38130173;4.884821631
7.943970953;7.593028139;7.943970953
5.87814308;5.745833701;5.87814308
10.2211284;10.24369106;10.2211284
6.790731006;6.939481478;6.790731006
5.370682063;5.45011701;5.370682063
7.501671619;7.624177896;7.501671619
11.25234402;11.33334868;11.25234402
9.599372248;9.883553529;9.599372248
8.282246414;8.557271897;8.282246414
7.639871286;7.863745897;7.639871286
7.759774532;8.272180926;7.759774532
8.498563019;9.489900594;8.498563019
12.06655818;11.85114417;12.06655818
19.30729095;18.92991485;19.30729095
7.392807049;7.879937952;7.392807049
8.887705295;9.234090374;8.887705295
8.847180822;8.554903405;8.847180822
8.317159801;8.815315792;8.317159801
4.528517888;4.498358979;4.528517888
5.063982627;5.165785933;5.063982627
8.51547087;8.544323502;8.51547087
4.565311373;4.315936235;4.565311373
6.612286831;6.764322493;6.612286831
10.48337817;10.89208974;10.48337817
9.233954787;9.573383477;9.233954787
10.44510793;11.53324758;10.44510793
10.68109141;11.0251783;10.68109141
9.639434099;9.857543267;9.639434099
6.918533013;7.19611823;6.918533013
6.799562652;6.958928824;6.799562652
8.364382972;8.71584133;8.364382972
7.450531684;7.450013602;7.450531684
8.103174436;8.149569867;8.103174436
8.121314364;8.112922408;8.121314364
7.481470469;7.662193804;7.481470469
7.735492009;7.867727346;7.735492009
7.784547599;8.040310971;7.784547599
7.603289181;7.78938836;7.603289181
8.301770481;8.168277477;8.301770481
9.419384988;9.327389738;9.419384988
9.498466699;9.710915969;9.498466699
8.35695017;8.442186139;8.35695017
5.505804093;5.449984625;5.505804093
9.956222832;9.988953606;9.956222832
