Valores_no_ajustados;Modelo_inv_Restringidos;Modelo_inv_Fijos
836.6198255;842.4961923;886.6559965
1292.0608;1166.52728;1210.57626
728.1097793;638.683834;683.3805444
1402.739272;1366.25702;1361.866073
1412.686362;1347.494692;1351.541852
1109.009993;1074.93709;1082.355041
1508.521361;1488.997125;1483.469261
1462.792486;1514.421595;1507.930556
1483.109652;1457.338729;1446.521147
815.055463;840.5852998;835.2096597
1388.937508;1448.396376;1441.068019
1133.321093;1144.677585;1132.770183
1132.874194;1136.405032;1143.062762
1359.3474;1357.290745;1352.382357
1359.956044;1356.082456;1352.471998
1284.415979;1331.17358;1317.908584
1276.241743;1244.881346;1235.499835
1092.928041;1080.12665;1070.495245
1003.970009;1057.596155;1049.111653
1403.317031;1319.71494;1336.15891
1360.772457;1354.804652;1351.875389
1203.832802;1205.600931;1197.628304
1341.900877;1389.309748;1377.091014
1253.827479;1256.968972;1259.622339
1275.216563;1381.05471;1340.171324
856.3336009;829.1013857;837.0895564
722.6687597;786.755173;763.8517307
1553.657909;1629.230225;1612.805339
1655.533401;1668.776328;1652.569508
1536.826328;1621.045224;1572.796262
1397.770438;1358.424975;1366.073087
1409.427756;1391.889096;1373.794304
399.9603906;344.1075518;373.5677204
465.2876441;466.2625976;466.6096443
1225.351602;1223.474947;1206.666284
1359.099714;1392.521796;1379.740575
338.4193897;448.8243059;455.941849
851.4641263;802.4130748;806.5955604
1208.92828;1257.449272;1264.254622
1359.680652;1377.139097;1367.017093
1482.063081;1480.717675;1487.401966
1157.785518;1164.975842;1148.156799
357.9132772;520.0898381;469.0439122
1142.504747;1199.617034;1166.774636
1274.940478;1298.985171;1281.891026
1203.549571;1319.524078;1283.849437
1443.463944;1426.263204;1397.086035
1382.159316;1294.193135;1323.56094
912.555274;830.4271332;875.0750019
1359.961857;1292.202291;1322.695884
956.2987974;904.0178509;915.1931625
1383.130188;1353.761159;1350.739057
1259.265306;1314.470914;1301.006882
1007.144656;1021.330158;1012.968368
864.0227223;915.4338683;903.6123355
1391.932763;1440.977643;1432.131168
1372.899016;1453.73127;1426.721043
1297.905556;1359.074111;1332.906157
1236.992509;1289.765433;1268.795844
1361.859307;1394.257663;1347.75822
1328.119593;1524.585083;1433.636993
1036.066122;1097.870598;1115.412476
1328.588587;1235.660318;1267.807415
876.4271298;981.5294575;936.3585172
1366.29218;1419.511367;1387.331725
1374.777531;1277.915159;1304.269318
1194.568312;1315.638435;1269.497044
525.7128762;593.7392844;595.1238904
724.9931638;768.7017803;758.7614774
1265.385179;1381.438742;1377.572423
654.3278189;528.2362106;550.299745
926.5700567;980.3637446;965.8737036
1522.478807;1622.86942;1584.576169
1411.887271;1483.360182;1451.569147
1573.299162;1790.424678;1690.516665
1630.542988;1672.39681;1640.259155
1429.691973;1473.09159;1452.481089
832.2596692;887.311338;861.2889709
860.2017984;881.4078188;866.5234267
1289.953291;1351.844629;1318.993253
1140.31498;1173.130685;1172.863531
1228.716406;1249.032584;1243.636638
1123.166854;1185.509921;1185.346007
1131.517781;1192.730155;1175.261343
1083.506294;1112.659647;1099.916065
1136.338662;1154.449536;1130.399018
1046.840976;1104.007706;1086.296253
1187.766355;1104.233623;1115.34244
1222.624562;1226.549364;1233.990695
1263.463081;1260.471769;1240.426318
1017.487687;1054.258209;1045.738767
628.5528106;613.6265643;620.4023301
1214.314276;1275.446603;1271.926714
