Valores_no_ajustados;Modelo_inv_Restringidos;Modelo_inv_Fijos
940.0297221;942.1529869;986.5928808
1196.199837;1222.926504;1267.258366
729.2531592;704.0424569;749.0444163
1318.083582;1350.074029;1345.636378
1359.567293;1357.538151;1361.602071
1089.170283;1081.067963;1088.539561
1465.425999;1498.831438;1493.248545
1483.820399;1517.694664;1511.143486
1428.905008;1466.730084;1455.82353
816.5976416;844.1399169;838.7143334
1416.996344;1461.047403;1453.653044
1092.487359;1139.184304;1127.172269
1090.378859;1130.273263;1136.952508
1349.540759;1382.64741;1377.691347
1277.518758;1358.551253;1354.875261
1281.425012;1336.228773;1322.847088
1196.068846;1249.552684;1240.082872
1044.226199;1068.04158;1058.33488
1049.36637;1061.871491;1053.323864
1353.818053;1320.235563;1336.793473
1349.053066;1357.117082;1354.160569
1182.507504;1208.681151;1200.637518
1347.4764;1394.460312;1382.137805
1218.538812;1263.974002;1266.61643
1298.304624;1407.466254;1366.272178
834.2284988;830.5794794;838.6139651
725.4687366;787.5429086;764.4562404
1585.248355;1658.733113;1642.169267
1572.688979;1648.335979;1631.987485
1498.82286;1632.594147;1583.969324
1358.56855;1364.152557;1371.843653
1291.898102;1372.594826;1354.34105
377.557694;315.1886822;344.8577314
457.0761121;471.3940552;471.730884
1192.539997;1230.923468;1213.993806
1365.098812;1397.370206;1384.488077
369.1471857;437.6817203;444.7947757
843.7712245;823.8562273;828.0737548
1293.600936;1281.426225;1288.272677
1304.911312;1386.505434;1376.276974
1472.801692;1483.178855;1489.891041
1133.6188;1178.470619;1161.524703
360.8632584;510.31065;458.8544578
1104.748413;1208.786726;1175.676478
1251.853907;1301.64557;1284.415007
1219.714478;1284.175968;1248.232888
1329.111352;1391.921494;1362.527533
1336.609023;1312.414296;1341.964119
918.5875545;891.3883731;936.3302626
1340.715382;1367.008238;1397.686185
921.447969;949.1586043;960.3929165
1328.655399;1382.714109;1379.645468
1331.093608;1360.744649;1347.185353
949.4827281;1005.315653;996.8641513
859.1058254;911.6503419;899.7258561
1355.230401;1449.564945;1440.612356
1366.469285;1467.642082;1440.406436
1260.669362;1354.691812;1328.304716
1230.116737;1291.928477;1270.791841
1240.043768;1304.044063;1257.211443
1341.042204;1524.130729;1432.504162
999.8122776;1090.309336;1107.907728
1293.150945;1242.923094;1275.246884
867.9513113;982.788741;937.268666
1333.871644;1414.640307;1382.210694
1313.620176;1272.105007;1298.644648
1191.843671;1313.196839;1266.700004
536.8466496;609.0006271;610.3448611
741.1454957;787.9256264;777.8959471
1313.105867;1386.946102;1383.012322
489.544229;464.2648512;486.4711688
991.184607;1045.77463;1031.162525
1485.35036;1606.006959;1567.403552
1354.200388;1454.223778;1422.170627
1538.476091;1750.434936;1649.779498
1583.325544;1668.370985;1635.979596
1404.54071;1474.099716;1453.32058
838.5066856;917.3847786;891.1540061
854.9081276;894.7815408;879.7781327
1218.06271;1315.442055;1282.330063
1150.772926;1177.069289;1176.792335
1212.442481;1264.998207;1259.530793
1126.930176;1176.035397;1175.838192
1128.399601;1201.27686;1183.654411
1063.204922;1115.723175;1102.867694
1095.160335;1168.730663;1144.485072
1048.061858;1108.632672;1090.772377
1089.452812;1108.808071;1119.970563
1215.95352;1244.659208;1252.130785
1196.86686;1265.488865;1245.279304
1021.357786;1053.998997;1045.397789
728.4827451;621.8788595;628.7479186
1245.505972;1281.517043;1277.946559
