Valores_no_ajustados;Modelo_inv_Restringidos;Modelo_inv_Fijos
-74.27837636;-73.54683972;-74.27837636
-92.97910812;-92.22822478;-92.97910812
-95.40514234;-94.64811193;-95.40514234
-6.29356728;-6.371522569;-6.29356728
-2.152902672;-2.06384824;-2.152902672
-0.044981342;0.088725757;-0.044981342
-2.794373029;-2.885998651;-2.794373029
0.335592837;0.228827201;0.335592837
-1.059942173;-1.232728374;-1.059942173
3.144688597;3.057158924;3.144688597
8.039719755;7.934324714;8.039719755
3.738516468;3.555696328;3.738516468
6.957957748;7.085011725;6.957957748
1.819687994;1.747677808;1.819687994
4.454456253;4.407969603;4.454456253
0.455048805;0.227834075;0.455048805
-1.215358674;-1.386504127;-1.215358674
0.620865043;0.46496274;0.620865043
1.930419512;1.7929117;1.930419512
4.354100904;4.68607259;4.354100904
4.615797213;4.600910718;4.615797213
3.305670101;3.210237473;3.305670101
1.782729788;1.608831674;1.782729788
-1.236680591;-1.21032809;-1.236680591
1.073431729;0.482381907;1.073431729
9.584467979;9.661075335;9.584467979
13.58755448;13.22451625;13.58755448
3.772796969;3.507669398;3.772796969
4.910204628;4.6610339;4.910204628
2.334013348;1.616016922;2.334013348
5.965848653;6.035208551;5.965848653
9.699736143;9.421629315;9.699736143
7.420950919;7.959831679;7.420950919
10.06826965;10.05929027;10.06826965
4.263835755;4.014443583;4.263835755
3.901367453;3.717322448;3.901367453
0.023456008;0.083113633;0.023456008
2.294409548;2.392802947;2.294409548
1.52879737;1.695489395;1.52879737
-2.184166817;-2.337255251;-2.184166817
-2.755263612;-2.567400689;-2.755263612
1.362919495;1.101034373;1.362919495
1.571025143;0.874616289;1.571025143
7.024758434;6.523161011;7.024758434
52.0382619;51.67562282;52.0382619
39.78422308;39.21218015;39.78422308
21.66931169;21.20615207;21.66931169
-11.87848041;-11.30233088;-11.87848041
-57.86161985;-57.10093864;-57.86161985
-71.92463498;-71.40660333;-71.92463498
-48.10494678;-47.88765527;-48.10494678
-22.2320925;-22.27059614;-22.2320925
-1.52080641;-1.729047633;-1.52080641
-5.959943158;-6.068315367;-5.959943158
1.625752175;1.453074027;1.625752175
1.663470435;1.524561901;1.663470435
12.9512128;12.51082694;12.9512128
11.46537009;10.97179905;11.46537009
8.430146781;8.110990858;8.430146781
50.4750782;49.73313232;50.4750782
10.9326529;9.605882747;10.9326529
15.04581955;15.25671574;15.04581955
16.3075713;15.24901372;16.3075713
13.26675386;12.58014869;13.26675386
10.21933286;9.709567253;10.21933286
11.53430817;11.85610112;11.53430817
4.301230476;3.60181295;4.301230476
16.53324284;16.48738811;16.53324284
9.150793929;8.982618128;9.150793929
16.45482336;16.34878276;16.45482336
12.65585381;13.04537834;12.65585381
17.11653909;16.9039436;17.11653909
17.76893638;17.16977187;17.76893638
33.25149936;32.72853446;33.25149936
85.27537552;83.74937981;85.27537552
15.89523821;15.42808057;15.89523821
9.982256306;9.683106003;9.982256306
2.130335977;1.733534474;2.130335977
0.400056585;0.170407819;0.400056585
4.496825903;3.99919737;4.496825903
8.953411033;8.902294882;8.953411033
-16.84853988;-16.93278458;-16.84853988
-15.63888654;-15.66743915;-15.63888654
18.94720117;18.63088612;18.94720117
20.20778545;19.98518281;20.20778545
24.10211646;23.69333334;24.10211646
20.12003717;19.80832775;20.12003717
-7.955489066;-7.758650333;-7.955489066
-19.0802443;-18.94538045;-19.0802443
6.353808405;6.027188038;6.353808405
3.568595522;3.468016743;3.568595522
8.763877788;8.879884335;8.763877788
6.31590259;6.20756807;6.31590259
