Valores_no_ajustados;Modelo_inv_Restringidos;Modelo_inv_Fijos
-418.4249753;-406.2418018;-351.7131463
264.6078067;276.6032465;329.5884667
-168.3796844;-156.1386614;-101.7390853
117.9060434;116.7420572;111.6919261
52.96759055;54.19508682;60.15251814
-327.6599396;-325.6313218;-316.657277
-2.907261702;-4.376009738;-10.76724039
105.3923572;103.6446019;95.94722802
366.781403;363.8334494;350.7353931
-215.7256717;-217.1740799;-223.5404354
289.0535523;287.0292844;277.8928542
81.17230476;77.95965515;63.8684
-152.0694211;-150.2088474;-141.8064774
3.383401798;2.04371103;-3.926860446
73.89842485;72.94814132;68.85035536
68.1274966;64.54015688;48.75293238
-3.302113613;-5.854452134;-17.15232705
16.76313335;14.13943389;2.514215041
-322.638167;-324.9355622;-335.0680358
21.30592216;25.92404327;46.92499727
147.1588094;146.4103657;143.2852048
-135.4171836;-137.5261838;-146.6099661
3.177683859;-0.142171221;-14.83984613
46.64065621;47.36804525;50.82116402
108.6559712;97.37684575;46.79886689
-633.6135879;-631.3435781;-620.8946378
-490.4400915;-496.6736442;-524.233815
301.2586865;296.7347782;276.446102
254.1840442;249.7493086;229.9963648
526.4712152;513.2264792;454.1398839
93.17850018;95.32696233;105.086674
92.27223589;87.34519457;65.51737261
-1.49300924;6.719298209;43.87837653
-101.024477;-100.8690466;-99.92109957
-26.52616533;-31.16790711;-52.11330332
141.0123957;137.5426694;122.2047899
-631.6166844;-629.684793;-620.4882465
-458.2244027;-457.0537121;-451.7521792
412.6556641;414.6239491;423.8116672
479.5839125;476.8275052;464.6079815
189.4634895;191.4081059;200.5511901
225.0546345;220.4030249;199.5006088
-204.5038682;-218.439299;-280.2197025
-71.04952987;-80.08089917;-120.1859129
118.8669906;114.2017784;93.49092044
164.2273775;154.5100162;111.4937877
-23.94291169;-31.96809141;-67.84548446
-132.6861327;-124.4116343;-86.61505526
-55.21089144;-42.86250397;12.55787107
18.79596257;27.18198522;64.58191429
-204.4701909;-201.3953116;-187.6887428
-1.499650839;-2.3105168;-5.882026941
79.28355274;75.53022349;58.5202412
-42.18793478;-44.38721824;-53.79470467
102.6857233;99.45752006;85.11696779
81.45490019;79.02988098;68.32892109
202.5421469;195.1545611;162.3029163
-102.7412792;-109.8718875;-141.4581869
90.33973961;84.60708679;59.12420452
-84.60158193;-97.34492819;-154.0835181
121.7744569;96.83140846;-14.29240235
-262.0627375;-257.2776838;-235.5222664
62.04080875;71.44107973;115.8948332
-34.81043301;-47.18834941;-102.3041087
137.4906323;128.6933772;89.60455353
146.14843;153.4416696;186.1947874
67.33693312;54.65978165;-1.934062215
-494.0627719;-493.6827623;-491.4864079
-628.7052045;-631.403041;-643.315922
93.72240925;92.66252997;88.16983826
-794.2378299;-788.0645677;-759.9962534
-251.0590332;-255.013614;-272.5556046
308.9181562;298.4143976;251.7334978
467.2041876;458.4818547;419.8818879
492.4729587;465.0406984;342.6828787
633.6595393;624.8971957;586.0567028
406.6216068;400.9910691;375.9718652
-109.3821817;-116.5010792;-148.1494526
-94.79344795;-98.85414591;-116.8116908
126.2913076;117.2900116;77.20867614
57.32123778;57.20564109;56.48046119
98.20041847;96.81867451;91.14852324
-3.995647908;-4.031385806;-3.886717165
-43.34702594;-48.08672428;-68.97509344
-82.09206602;-85.55617651;-100.8250589
75.73866861;69.17505714;40.08695097
-82.78558712;-87.59572764;-108.8152011
-201.9476835;-198.8033652;-184.3816982
40.71236615;42.80434059;52.31772791
39.91542398;34.42676713;10.01194918
-477.5098973;-479.7368844;-489.1699849
-106.4902666;-104.6164622;-96.16430249
49.71490046;48.74530969;44.78416953
