Valores_no_ajustados;Modelo_inv_Restringidos;Modelo_inv_Fijos
8.046369443;7.961704975;7.978801425
5.231340613;5.144437053;4.536567668
4.823714989;4.736099996;4.820858989
5.310013324;5.319035488;5.307157325
5.279987237;5.269680513;5.277131237
3.727564268;3.712089663;3.640688092
4.566701955;4.577306255;4.560301418
5.146190167;5.158546698;5.14311695
4.948203629;4.968201058;4.945347629
6.225332798;6.235463054;6.222578635
5.901075848;5.913273754;5.899069664
5.144550089;5.165708797;5.141694089
5.909425988;5.894721383;5.906569988
5.710301581;5.718635687;5.707445581
5.542895782;5.548275919;5.522647935
5.395288456;5.421585176;5.391344065
5.597694414;5.617501951;5.468538302
5.660779124;5.678822493;5.40890238
5.441980579;5.457895059;5.236317928
5.043581096;5.005160319;5.040792582
5.124543102;5.126265992;5.030170511
4.82479504;4.835839945;4.821953598
5.046966673;5.067092789;5.044110673
5.123937843;5.120887933;5.121583582
5.361763812;5.430169024;5.358907812
5.437412714;5.428546554;5.434603427
5.786816697;5.828832964;5.756771229
5.671237389;5.701921955;5.18231365
5.727819566;5.756657366;5.722525953
6.067206583;6.150303973;5.98451391
6.602742357;6.594714982;6.599760592
6.723997884;6.756184607;6.719330626
5.417680124;5.355312703;5.392646865
6.153563891;6.15460312;6.151200811
5.907595383;5.936458811;5.904858383
5.802441572;5.82374204;5.799585572
0.005681852;-0.001222629;0.002825852
2.428193151;2.416805581;2.389547887
6.877779262;6.858487144;6.861189615
6.964274198;6.981991903;6.962439893
7.410394955;7.38865262;7.410394955
5.880255918;5.91056522;5.880255918
5.670664421;5.751263372;5.670664421
6.60640267;6.664455099;6.60640267
6.708508387;6.750478459;6.708508387
6.909551407;6.975756855;6.909551407
6.93501858;6.988622406;6.93501858
6.636527752;6.569847027;6.636527752
6.352112407;6.264074888;6.352112407
7.337647281;7.277692834;7.337647281
7.771358098;7.746209843;7.771358098
8.109343292;8.113799515;8.109343292
8.489911502;8.514012321;8.489911502
8.217260296;8.229802764;8.217260296
9.698140362;9.718125285;9.698140362
9.302517888;9.318594481;9.302517888
8.819026331;8.869994434;8.819026331
7.860286176;7.917409671;7.860286176
9.1972798;9.234217343;9.1972798
9.234668568;9.320537751;9.234668568
9.769915087;9.923468968;9.769915087
9.175360819;9.150952727;9.175360819
8.990914475;9.113426745;8.990914475
7.75122446;7.830688781;7.75122446
8.80531632;8.864314095;8.80531632
9.016003665;8.978760925;9.016003665
8.105445901;8.186393061;8.105445901
10.47704341;10.48235042;10.47704341
5.147260711;5.166724555;5.147260711
10.20548458;10.2177572;10.20548458
6.793315355;6.748233694;6.793315355
10.36167647;10.38628123;10.36167647
10.28329839;10.35264276;10.28329839
9.811837085;9.872362481;9.811837085
8.500634901;8.677246173;8.500634901
9.966873863;10.0209404;9.966873863
9.533435505;9.568057696;9.533435505
10.10211225;10.14803611;10.10211225
10.46976059;10.49633901;10.46976059
10.01224777;10.06984086;10.01224777
10.20098075;10.20689668;10.20098075
10.00494465;10.01469472;10.00494465
11.06014561;11.06345015;11.06014561
9.841690753;9.878299508;9.841690753
11.07608368;11.10184662;11.07608368
11.48323484;11.5305454;11.48323484
9.676625598;9.71270132;9.676625598
8.709368996;8.686587845;8.709368996
10.62593643;10.61032794;10.62593643
11.56772932;11.60553077;11.56772932
5.18659889;5.198239385;5.18659889
8.653964694;8.640538664;8.653964694
11.83979424;11.85233235;11.83979424
